index,ano,data,rodada,time,tecnico,colocacao,gols,total_gols,gols_outro_time,dif_gols,derrota,empate,vitoria
5890,2018,2018-04-14,1,Cruzeiro,Mano Menezes,15.0,0.0,1.0,1.0,-1.0,1,0,0
5894,2018,2018-04-15,1,Corinthians,Fábio Carille,5.0,2.0,3.0,1.0,1.0,0,0,1
5895,2018,2018-04-15,1,Internacional,Odair Hellmann,4.0,2.0,2.0,0.0,2.0,0,0,1
5898,2018,2018-04-17,1,Botafogo,Alberto Valentim,12.0,1.0,2.0,1.0,0.0,0,1,0
5899,2018,2018-04-17,1,São Paulo,Diego Aguirre,8.0,1.0,1.0,0.0,1.0,0,0,1
5901,2018,2018-04-22,2,Flamengo,Maurício Barbieri,9.0,2.0,2.0,0.0,2.0,0,0,1
5903,2018,2018-04-22,2,Atlético-MG,Thiago Larghi,13.0,2.0,3.0,1.0,1.0,0,0,1
5907,2018,2018-04-22,2,Palmeiras,Roger Machado,11.0,1.0,1.0,0.0,1.0,0,0,1
5908,2018,2018-04-23,2,Grêmio,Renato Gaúcho,7.0,0.0,0.0,0.0,0.0,0,1,0
5909,2018,2018-04-24,2,Sport Recife,Nelsinho Baptista,19.0,1.0,2.0,1.0,0.0,0,1,0
5910,2018,2018-04-28,3,Botafogo,Alberto Valentim,14.0,2.0,3.0,1.0,1.0,0,0,1
5911,2018,2018-04-29,3,Atlético-MG,Thiago Larghi,11.0,1.0,1.0,0.0,1.0,0,0,1
5916,2018,2018-04-29,3,Palmeiras,Roger Machado,5.0,0.0,0.0,0.0,0.0,0,1,0
5917,2018,2018-04-30,3,Internacional,Odair Hellmann,10.0,0.0,0.0,0.0,0.0,0,1,0
5921,2018,2018-05-06,4,São Paulo,Diego Aguirre,9.0,2.0,4.0,2.0,0.0,0,1,0
5922,2018,2018-05-06,4,Corinthians,Fábio Carille,2.0,1.0,2.0,1.0,0.0,0,1,0
5923,2018,2018-05-06,4,Cruzeiro,Mano Menezes,18.0,1.0,1.0,0.0,1.0,0,0,1
5926,2018,2018-05-06,4,Flamengo,Maurício Barbieri,1.0,2.0,2.0,0.0,2.0,0,0,1
5927,2018,2018-05-07,4,Sport Recife,Claudinei Oliveira,15.0,2.0,2.0,0.0,2.0,0,0,1
5928,2018,2018-05-07,4,Grêmio,Renato Gaúcho,13.0,5.0,6.0,1.0,4.0,0,0,1
5930,2018,2018-05-12,5,Grêmio,Renato Gaúcho,5.0,0.0,0.0,0.0,0.0,0,1,0
5931,2018,2018-05-13,5,Cruzeiro,Mano Menezes,14.0,2.0,2.0,0.0,2.0,0,0,1
5932,2018,2018-05-13,5,Corinthians,Fábio Carille,4.0,1.0,1.0,0.0,1.0,0,0,1
5938,2018,2018-05-15,5,Botafogo,Alberto Valentim,12.0,2.0,3.0,1.0,1.0,0,0,1
5940,2018,2018-05-19,6,Atlético-MG,Thiago Larghi,3.0,1.0,1.0,0.0,1.0,0,0,1
5941,2018,2018-05-20,6,Flamengo,Maurício Barbieri,1.0,1.0,2.0,1.0,0.0,0,1,0
5942,2018,2018-05-20,6,Palmeiras,Roger Machado,6.0,3.0,3.0,0.0,3.0,0,0,1
5946,2018,2018-05-20,6,São Paulo,Diego Aguirre,13.0,1.0,1.0,0.0,1.0,0,0,1
5947,2018,2018-05-20,6,Sport Recife,Claudinei Oliveira,12.0,1.0,2.0,1.0,0.0,0,1,0
5949,2018,2018-05-22,6,Internacional,Odair Hellmann,16.0,3.0,3.0,0.0,3.0,0,0,1
5951,2018,2018-05-27,7,Palmeiras,Roger Machado,4.0,2.0,5.0,3.0,-1.0,1,0,0
5952,2018,2018-05-27,7,Atlético-MG,Thiago Larghi,1.0,0.0,1.0,1.0,-1.0,1,0,0
5954,2018,2018-05-27,7,Botafogo,Alberto Valentim,11.0,1.0,2.0,1.0,0.0,0,1,0
5957,2018,2018-05-27,7,Internacional,Odair Hellmann,10.0,2.0,3.0,1.0,1.0,0,0,1
5961,2018,2018-05-31,8,Sport Recife,Claudinei Oliveira,9.0,3.0,5.0,2.0,1.0,0,0,1
5963,2018,2018-05-31,8,São Paulo,Diego Aguirre,4.0,3.0,5.0,2.0,1.0,0,0,1
5965,2018,2018-05-31,8,Cruzeiro,Mano Menezes,10.0,1.0,1.0,0.0,1.0,0,0,1
5966,2018,2018-05-31,8,Grêmio,Renato Gaúcho,5.0,0.0,0.0,0.0,0.0,0,1,0
5967,2018,2018-05-31,8,Flamengo,Maurício Barbieri,1.0,2.0,2.0,0.0,2.0,0,0,1
5968,2018,2018-05-31,8,Corinthians,Osmar Loss,6.0,1.0,1.0,0.0,1.0,0,0,1
5970,2018,2018-06-02,9,Atlético-MG,Thiago Larghi,8.0,3.0,6.0,3.0,0.0,0,1,0
5971,2018,2018-06-02,9,Internacional,Odair Hellmann,5.0,0.0,0.0,0.0,0.0,0,1,0
5973,2018,2018-06-03,9,Palmeiras,Roger Machado,11.0,3.0,4.0,1.0,2.0,0,0,1
5976,2018,2018-06-03,9,Flamengo,Maurício Barbieri,1.0,1.0,1.0,0.0,1.0,0,0,1
5980,2018,2018-06-06,10,São Paulo,Diego Aguirre,4.0,0.0,0.0,0.0,0.0,0,1,0
5982,2018,2018-06-07,10,Botafogo,Alberto Valentim,13.0,0.0,0.0,0.0,0.0,0,1,0
5983,2018,2018-06-07,10,Sport Recife,Claudinei Oliveira,6.0,1.0,1.0,0.0,1.0,0,0,1
5984,2018,2018-06-07,10,Corinthians,Osmar Loss,8.0,1.0,2.0,1.0,0.0,0,1,0
5985,2018,2018-06-07,10,Cruzeiro,Mano Menezes,2.0,1.0,2.0,1.0,0.0,0,1,0
5986,2018,2018-06-07,10,Grêmio,Renato Gaúcho,3.0,0.0,2.0,2.0,-2.0,1,0,0
5993,2018,2018-06-10,11,Corinthians,Osmar Loss,9.0,0.0,0.0,0.0,0.0,0,1,0
5994,2018,2018-06-10,11,Atlético-MG,Thiago Larghi,4.0,5.0,7.0,2.0,3.0,0,0,1
5997,2018,2018-06-10,11,Grêmio,Renato Gaúcho,7.0,1.0,1.0,0.0,1.0,0,0,1
5998,2018,2018-06-11,11,Flamengo,Maurício Barbieri,1.0,2.0,2.0,0.0,2.0,0,0,1
6000,2018,2018-06-13,12,São Paulo,Diego Aguirre,3.0,3.0,3.0,0.0,3.0,0,0,1
6004,2018,2018-06-14,12,Sport Recife,Claudinei Oliveira,7.0,0.0,0.0,0.0,0.0,0,1,0
6005,2018,2018-06-14,12,Botafogo,Alberto Valentim,12.0,2.0,2.0,0.0,2.0,0,0,1
6006,2018,2018-06-14,12,Palmeiras,Roger Machado,6.0,1.0,2.0,1.0,0.0,0,1,0
6007,2018,2018-06-14,12,Atlético-MG,Thiago Larghi,2.0,2.0,3.0,1.0,1.0,0,0,1
6009,2018,2018-06-14,12,Internacional,Odair Hellmann,5.0,3.0,4.0,1.0,2.0,0,0,1
6012,2018,2018-07-19,13,Flamengo,Maurício Barbieri,1.0,0.0,1.0,1.0,-1.0,1,0,0
6013,2018,2018-07-19,13,Corinthians,Osmar Loss,10.0,2.0,2.0,0.0,2.0,0,0,1
6014,2018,2018-07-19,13,Grêmio,Renato Gaúcho,5.0,2.0,2.0,0.0,2.0,0,0,1
6015,2018,2018-07-20,13,Cruzeiro,Mano Menezes,8.0,3.0,4.0,1.0,2.0,0,0,1
6020,2018,2018-07-22,14,Flamengo,Maurício Barbieri,1.0,2.0,2.0,0.0,2.0,0,0,1
6021,2018,2018-07-22,14,São Paulo,Diego Aguirre,2.0,3.0,4.0,1.0,2.0,0,0,1
6025,2018,2018-07-22,14,Sport Recife,Claudinei Oliveira,9.0,1.0,3.0,2.0,-1.0,1,0,0
6026,2018,2018-07-22,14,Palmeiras,Roger Machado,7.0,3.0,5.0,2.0,1.0,0,0,1
6027,2018,2018-07-23,14,Cruzeiro,Mano Menezes,6.0,2.0,3.0,1.0,1.0,0,0,1
6029,2018,2018-07-24,14,Internacional,Odair Hellmann,5.0,1.0,1.0,0.0,1.0,0,0,1
6031,2018,2018-07-26,15,Atlético-MG,Thiago Larghi,5.0,2.0,2.0,0.0,2.0,0,0,1
6033,2018,2018-07-26,15,Corinthians,Osmar Loss,9.0,2.0,2.0,0.0,2.0,0,0,1
6035,2018,2018-07-27,15,Botafogo,Marcos Paquetá,12.0,1.0,1.0,0.0,1.0,0,0,1
6036,2018,2018-07-27,15,Grêmio,Renato Gaúcho,7.0,2.0,3.0,1.0,1.0,0,0,1
6042,2018,2018-07-29,16,Palmeiras,Wesley Carvalho,7.0,3.0,3.0,0.0,3.0,0,0,1
6043,2018,2018-07-29,16,Cruzeiro,Mano Menezes,6.0,0.0,2.0,2.0,-2.0,1,0,0
6045,2018,2018-07-29,16,Flamengo,Maurício Barbieri,1.0,4.0,5.0,1.0,3.0,0,0,1
6046,2018,2018-07-29,16,Internacional,Odair Hellmann,5.0,3.0,3.0,0.0,3.0,0,0,1
6050,2018,2018-08-04,17,Botafogo,Bruno Lazaroni,13.0,0.0,0.0,0.0,0.0,0,1,0
6051,2018,2018-08-05,17,Grêmio,Renato Gaúcho,5.0,2.0,2.0,0.0,2.0,0,0,1
6052,2018,2018-08-05,17,Corinthians,Osmar Loss,7.0,0.0,0.0,0.0,0.0,0,1,0
6056,2018,2018-08-05,17,São Paulo,Diego Aguirre,2.0,2.0,3.0,1.0,1.0,0,0,1
6058,2018,2018-08-06,17,Sport Recife,Claudinei Oliveira,14.0,1.0,2.0,1.0,0.0,0,1,0
6059,2018,2018-08-07,17,Atlético-MG,Thiago Larghi,4.0,0.0,1.0,1.0,-1.0,1,0,0
6062,2018,2018-08-12,18,Atlético-MG,Thiago Larghi,5.0,3.0,4.0,1.0,2.0,0,0,1
6065,2018,2018-08-12,18,Flamengo,Maurício Barbieri,2.0,1.0,1.0,0.0,1.0,0,0,1
6066,2018,2018-08-12,18,Sport Recife,Claudinei Oliveira,14.0,1.0,4.0,3.0,-2.0,1,0,0
6067,2018,2018-08-13,18,Palmeiras,Luiz Felipe Scolari,6.0,1.0,1.0,0.0,1.0,0,0,1
6068,2018,2018-08-13,18,Grêmio,Renato Gaúcho,4.0,4.0,4.0,0.0,4.0,0,0,1
6071,2018,2018-08-19,19,Corinthians,Osmar Loss,7.0,0.0,1.0,1.0,-1.0,1,0,0
6073,2018,2018-08-19,19,Internacional,Odair Hellmann,3.0,1.0,1.0,0.0,1.0,0,0,1
6074,2018,2018-08-19,19,Cruzeiro,Mano Menezes,8.0,1.0,2.0,1.0,0.0,0,1,0
6076,2018,2018-08-19,19,Botafogo,Marcos Paquetá,11.0,0.0,3.0,3.0,-3.0,1,0,0
6078,2018,2018-08-20,19,São Paulo,Diego Aguirre,1.0,2.0,2.0,0.0,2.0,0,0,1
6083,2018,2018-08-23,20,Sport Recife,Eduardo Baptista,17.0,0.0,2.0,2.0,-2.0,1,0,0
6084,2018,2018-08-23,20,Palmeiras,Luiz Felipe Scolari,6.0,2.0,2.0,0.0,2.0,0,0,1
6086,2018,2018-08-23,20,Grêmio,Renato Gaúcho,4.0,1.0,2.0,1.0,0.0,0,1,0
6087,2018,2018-08-24,20,Flamengo,Maurício Barbieri,3.0,1.0,1.0,0.0,1.0,0,0,1
6088,2018,2018-08-24,20,Atlético-MG,Thiago Larghi,5.0,0.0,0.0,0.0,0.0,0,1,0
6092,2018,2018-08-26,21,Corinthians,Osmar Loss,8.0,1.0,1.0,0.0,1.0,0,0,1
6093,2018,2018-08-26,21,Cruzeiro,Mano Menezes,7.0,2.0,3.0,1.0,1.0,0,0,1
6094,2018,2018-08-26,21,Botafogo,Zé Ricardo,15.0,2.0,2.0,0.0,2.0,0,0,1
6095,2018,2018-08-26,21,São Paulo,Diego Aguirre,1.0,1.0,1.0,0.0,1.0,0,0,1
6098,2018,2018-08-26,21,Internacional,Odair Hellmann,2.0,0.0,0.0,0.0,0.0,0,1,0
6101,2018,2018-09-01,22,Grêmio,Renato Gaúcho,5.0,4.0,4.0,0.0,4.0,0,0,1
6103,2018,2018-09-02,22,Corinthians,Osmar Loss,8.0,1.0,2.0,1.0,0.0,0,1,0
6104,2018,2018-09-02,22,Flamengo,Maurício Barbieri,3.0,0.0,1.0,1.0,-1.0,1,0,0
6106,2018,2018-09-02,22,São Paulo,Diego Aguirre,1.0,1.0,2.0,1.0,0.0,0,1,0
6107,2018,2018-09-02,22,Sport Recife,Eduardo Baptista,18.0,1.0,1.0,0.0,1.0,0,0,1
6108,2018,2018-09-03,22,Cruzeiro,Mano Menezes,7.0,0.0,0.0,0.0,0.0,0,1,0
6111,2018,2018-09-06,23,Botafogo,Zé Ricardo,16.0,1.0,2.0,1.0,0.0,0,1,0
6114,2018,2018-09-06,23,Palmeiras,Luiz Felipe Scolari,5.0,2.0,2.0,0.0,2.0,0,0,1
6115,2018,2018-09-06,23,Atlético-MG,Thiago Larghi,6.0,1.0,1.0,0.0,1.0,0,0,1
6116,2018,2018-09-06,23,Internacional,Odair Hellmann,2.0,2.0,3.0,1.0,1.0,0,0,1
6120,2018,2018-09-08,24,Sport Recife,Eduardo Baptista,18.0,0.0,0.0,0.0,0.0,0,1,0
6121,2018,2018-09-09,24,São Paulo,Diego Aguirre,2.0,1.0,1.0,0.0,1.0,0,0,1
6122,2018,2018-09-09,24,Flamengo,Maurício Barbieri,4.0,2.0,2.0,0.0,2.0,0,0,1
6125,2018,2018-09-09,24,Palmeiras,Luiz Felipe Scolari,3.0,1.0,1.0,0.0,1.0,0,0,1
6126,2018,2018-09-09,24,Internacional,Odair Hellmann,1.0,1.0,1.0,0.0,1.0,0,0,1
6129,2018,2018-09-11,24,Atlético-MG,Thiago Larghi,6.0,3.0,4.0,1.0,2.0,0,0,1
6131,2018,2018-09-15,25,Grêmio,Renato Gaúcho,6.0,2.0,2.0,0.0,2.0,0,0,1
6133,2018,2018-09-16,25,Botafogo,Zé Ricardo,15.0,1.0,1.0,0.0,1.0,0,0,1
6134,2018,2018-09-16,25,Cruzeiro,Mano Menezes,7.0,0.0,0.0,0.0,0.0,0,1,0
6138,2018,2018-09-17,25,Corinthians,Jair Ventura,10.0,2.0,3.0,1.0,1.0,0,0,1
6140,2018,2018-09-22,26,São Paulo,Diego Aguirre,1.0,1.0,2.0,1.0,0.0,0,1,0
6141,2018,2018-09-23,26,Grêmio,Renato Gaúcho,5.0,3.0,5.0,2.0,1.0,0,0,1
6143,2018,2018-09-23,26,Flamengo,Maurício Barbieri,4.0,2.0,3.0,1.0,1.0,0,0,1
6144,2018,2018-09-23,26,Corinthians,Jair Ventura,8.0,1.0,2.0,1.0,0.0,0,1,0
6146,2018,2018-09-23,26,Sport Recife,Eduardo Baptista,19.0,0.0,1.0,1.0,-1.0,1,0,0
6147,2018,2018-09-24,26,Cruzeiro,Mano Menezes,7.0,2.0,3.0,1.0,1.0,0,0,1
6153,2018,2018-09-30,27,Palmeiras,Luiz Felipe Scolari,2.0,3.0,4.0,1.0,2.0,0,0,1
6154,2018,2018-09-30,27,Atlético-MG,Thiago Larghi,6.0,5.0,7.0,2.0,3.0,0,0,1
6155,2018,2018-09-30,27,Botafogo,Zé Ricardo,12.0,2.0,4.0,2.0,0.0,0,1,0
6157,2018,2018-09-30,27,Internacional,Odair Hellmann,3.0,2.0,3.0,1.0,1.0,0,0,1
6160,2018,2018-10-06,28,Sport Recife,Milton Mendes,19.0,2.0,3.0,1.0,1.0,0,0,1
6161,2018,2018-10-06,28,Corinthians,Jair Ventura,9.0,0.0,3.0,3.0,-3.0,1,0,0
6165,2018,2018-10-06,28,São Paulo,Diego Aguirre,3.0,0.0,2.0,2.0,-2.0,1,0,0
6166,2018,2018-10-07,28,Grêmio,Renato Gaúcho,4.0,2.0,4.0,2.0,0.0,0,1,0
6168,2018,2018-10-10,28,Botafogo,Zé Ricardo,12.0,1.0,2.0,1.0,0.0,0,1,0
6169,2018,2018-10-25,28,Cruzeiro,Mano Menezes,7.0,0.0,2.0,2.0,-2.0,1,0,0
6170,2018,2018-10-13,29,Flamengo,Dorival Júnior,3.0,3.0,3.0,0.0,3.0,0,0,1
6175,2018,2018-10-14,29,Palmeiras,Luiz Felipe Scolari,1.0,2.0,2.0,0.0,2.0,0,0,1
6176,2018,2018-10-14,29,Internacional,Odair Hellmann,2.0,3.0,4.0,1.0,2.0,0,0,1
6177,2018,2018-10-15,29,Atlético-MG,Thiago Larghi,6.0,0.0,0.0,0.0,0.0,0,1,0
6181,2018,2018-10-20,30,Botafogo,Zé Ricardo,12.0,0.0,1.0,1.0,-1.0,1,0,0
6182,2018,2018-10-21,30,São Paulo,Diego Aguirre,4.0,0.0,0.0,0.0,0.0,0,1,0
6183,2018,2018-10-21,30,Sport Recife,Milton Mendes,19.0,2.0,3.0,1.0,1.0,0,0,1
6186,2018,2018-10-21,30,Palmeiras,Luiz Felipe Scolari,1.0,2.0,3.0,1.0,1.0,0,0,1
6187,2018,2018-10-22,30,Cruzeiro,Mano Menezes,10.0,3.0,3.0,0.0,3.0,0,0,1
6189,2018,2018-10-23,30,Internacional,Odair Hellmann,2.0,2.0,4.0,2.0,0.0,0,1,0
6193,2018,2018-10-27,31,Grêmio,Renato Gaúcho,5.0,3.0,7.0,4.0,-1.0,1,0,0
6195,2018,2018-10-28,31,Flamengo,Dorival Júnior,2.0,1.0,2.0,1.0,0.0,0,1,0
6196,2018,2018-10-28,31,Corinthians,Jair Ventura,12.0,2.0,3.0,1.0,1.0,0,0,1
6197,2018,2018-10-28,31,Cruzeiro,Mano Menezes,10.0,3.0,4.0,1.0,2.0,0,0,1
6200,2018,2018-11-03,32,Atlético-MG,Levir Culpi,6.0,0.0,1.0,1.0,-1.0,1,0,0
6202,2018,2018-11-03,32,Palmeiras,Luiz Felipe Scolari,1.0,3.0,5.0,2.0,1.0,0,0,1
6205,2018,2018-11-04,32,Botafogo,Zé Ricardo,15.0,1.0,1.0,0.0,1.0,0,0,1
6206,2018,2018-11-04,32,São Paulo,Diego Aguirre,4.0,2.0,4.0,2.0,0.0,0,1,0
6208,2018,2018-11-04,32,Internacional,Odair Hellmann,3.0,2.0,3.0,1.0,1.0,0,0,1
6209,2018,2018-11-05,32,Sport Recife,Milton Mendes,18.0,1.0,1.0,0.0,1.0,0,0,1
6211,2018,2018-11-10,33,Corinthians,Jair Ventura,12.0,1.0,2.0,1.0,0.0,0,1,0
6213,2018,2018-11-10,33,Botafogo,Zé Ricardo,14.0,2.0,3.0,1.0,1.0,0,0,1
6214,2018,2018-11-11,33,Atlético-MG,Levir Culpi,6.0,1.0,2.0,1.0,0.0,0,1,0
6217,2018,2018-11-11,33,Grêmio,Renato Gaúcho,5.0,2.0,3.0,1.0,1.0,0,0,1
6223,2018,2018-11-15,34,Cruzeiro,Mano Menezes,9.0,1.0,1.0,0.0,1.0,0,0,1
6224,2018,2018-11-15,34,Sport Recife,Milton Mendes,16.0,0.0,0.0,0.0,0.0,0,1,0
6225,2018,2018-11-15,34,Palmeiras,Luiz Felipe Scolari,1.0,3.0,3.0,0.0,3.0,0,0,1
6227,2018,2018-11-15,34,Flamengo,Dorival Júnior,3.0,1.0,1.0,0.0,1.0,0,0,1
6228,2018,2018-11-15,34,São Paulo,André Jardine,5.0,1.0,2.0,1.0,0.0,0,1,0
6229,2018,2018-11-16,34,Internacional,Odair Hellmann,2.0,2.0,2.0,0.0,2.0,0,0,1
6231,2018,2018-11-17,35,Corinthians,Jair Ventura,13.0,1.0,1.0,0.0,1.0,0,0,1
6232,2018,2018-11-18,35,Atlético-MG,Levir Culpi,6.0,1.0,1.0,0.0,1.0,0,0,1
6235,2018,2018-11-18,35,Botafogo,Zé Ricardo,11.0,1.0,1.0,0.0,1.0,0,0,1
6236,2018,2018-11-18,35,Sport Recife,Milton Mendes,15.0,0.0,1.0,1.0,-1.0,1,0,0
6237,2018,2018-11-18,35,São Paulo,André Jardine,5.0,1.0,1.0,0.0,1.0,0,0,1
6238,2018,2018-11-18,35,Grêmio,Renato Gaúcho,4.0,2.0,2.0,0.0,2.0,0,0,1
6240,2018,2018-11-21,36,Internacional,Odair Hellmann,3.0,1.0,3.0,2.0,-1.0,1,0,0
6242,2018,2018-11-22,36,Cruzeiro,Mano Menezes,8.0,3.0,3.0,0.0,3.0,0,0,1
6244,2018,2018-11-22,36,Flamengo,Dorival Júnior,2.0,2.0,2.0,0.0,2.0,0,0,1
6245,2018,2018-11-22,36,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6251,2018,2018-11-25,37,Cruzeiro,Mano Menezes,8.0,0.0,2.0,2.0,-2.0,1,0,0
6256,2018,2018-11-25,37,Corinthians,Jair Ventura,12.0,0.0,0.0,0.0,0.0,0,1,0
6257,2018,2018-11-25,37,Internacional,Odair Hellmann,3.0,2.0,2.0,0.0,2.0,0,0,1
6258,2018,2018-11-26,37,Botafogo,Zé Ricardo,9.0,2.0,3.0,1.0,1.0,0,0,1
6259,2018,2018-11-26,37,São Paulo,André Jardine,5.0,0.0,0.0,0.0,0.0,0,1,0
6260,2018,2018-12-01,38,Atlético-MG,Levir Culpi,6.0,1.0,1.0,0.0,1.0,0,0,1
6261,2018,2018-12-01,38,Flamengo,Dorival Júnior,2.0,1.0,3.0,2.0,-1.0,1,0,0
6267,2018,2018-12-02,38,Sport Recife,Milton Mendes,18.0,2.0,3.0,1.0,1.0,0,0,1
6268,2018,2018-12-02,38,Palmeiras,Luiz Felipe Scolari,1.0,3.0,5.0,2.0,1.0,0,0,1
6269,2018,2018-12-02,38,Grêmio,Renato Gaúcho,4.0,1.0,1.0,0.0,1.0,0,0,1
6270,2019,2019-04-27,1,São Paulo,Cuca,5.0,2.0,2.0,0.0,2.0,0,0,1
6271,2019,2019-04-28,1,Atlético-MG,Rodrigo Santana,8.0,2.0,3.0,1.0,1.0,0,0,1
6273,2019,2019-04-28,1,Flamengo,Abel Braga,4.0,3.0,4.0,1.0,2.0,0,0,1
6274,2019,2019-04-28,1,Grêmio,Renato Gaúcho,12.0,1.0,3.0,2.0,-1.0,1,0,0
6278,2019,2019-04-29,1,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6281,2019,2019-05-01,2,Corinthians,Fábio Carille,11.0,1.0,1.0,0.0,1.0,0,0,1
6282,2019,2019-05-01,2,Internacional,Odair Hellmann,16.0,2.0,3.0,1.0,1.0,0,0,1
6283,2019,2019-05-02,2,Cruzeiro,Mano Menezes,15.0,1.0,1.0,0.0,1.0,0,0,1
6289,2019,2019-05-03,2,Botafogo,Eduardo Barroca,17.0,3.0,5.0,2.0,1.0,0,0,1
6290,2019,2019-05-05,3,Palmeiras,Luiz Felipe Scolari,4.0,1.0,1.0,0.0,1.0,0,0,1
6294,2019,2019-05-05,3,São Paulo,Cuca,1.0,1.0,2.0,1.0,0.0,0,1,0
6295,2019,2019-05-05,3,Botafogo,Eduardo Barroca,12.0,1.0,1.0,0.0,1.0,0,0,1
6297,2019,2019-05-05,3,Cruzeiro,Mano Menezes,14.0,2.0,3.0,1.0,1.0,0,0,1
6298,2019,2019-05-06,3,Grêmio,Renato Gaúcho,16.0,4.0,9.0,5.0,-1.0,1,0,0
6301,2019,2019-05-12,4,Corinthians,Fábio Carille,11.0,0.0,0.0,0.0,0.0,0,1,0
6303,2019,2019-05-12,4,Flamengo,Abel Braga,9.0,2.0,3.0,1.0,1.0,0,0,1
6304,2019,2019-05-12,4,Internacional,Odair Hellmann,15.0,3.0,4.0,1.0,2.0,0,0,1
6306,2019,2019-05-12,4,Atlético-MG,Rodrigo Santana,1.0,0.0,2.0,2.0,-2.0,1,0,0
6311,2019,2019-05-19,5,Atlético-MG,Rodrigo Santana,4.0,2.0,3.0,1.0,1.0,0,0,1
6312,2019,2019-05-19,5,Palmeiras,Luiz Felipe Scolari,1.0,4.0,4.0,0.0,4.0,0,0,1
6313,2019,2019-05-19,5,São Paulo,Cuca,3.0,0.0,0.0,0.0,0.0,0,1,0
